rosbagTimestamp,data
1556558329667987508,0.0
1556558330002037570,10.0
1556558330059153853,10.0
1556558330083165454,10.0
1556558330198955087,1.0
1556558331668444977,0.0
1556558332086908211,1.0
1556558332668436554,0.0
1556558333073950584,1.0
1556558333668763847,0.0
1556558333962118416,1.0
1556558337668464773,0.0
1556558338066069500,1.0
1556558341668229865,0.0
1556558342026049118,1.0
1556558345668549949,0.0
1556558346002051478,1.0
1556558349668540411,0.0
1556558350042040103,1.0
1556558352667916605,0.0
1556558353256079293,11.0
1556558353259052906,11.0
1556558353355008006,11.0
1556558353470927369,1.0
1556558353668473226,0.0
1556558354199072525,1.0
1556558356668564502,0.0
1556558357210106658,1.0
1556558358563694810,11.0
1556558358568691581,11.0
1556558358571808645,11.0
1556558358576849184,11.0
1556558358579649454,11.0
1556558358584312101,11.0
1556558358731056079,11.0
1556558363668593295,0.0
1556558364138115967,1.0
1556558367668447377,0.0
1556558368215062617,1.0
1556558369668618461,0.0
1556558370082144996,1.0
1556558370668516531,0.0
1556558371858715546,10.0
1556558371867782300,10.0
1556558371880306465,10.0
1556558371888155690,10.0
1556558371891067800,10.0
1556558371896125816,10.0
1556558371915044694,10.0
1556558371923318776,10.0
1556558371927982986,10.0
1556558371930983692,10.0
1556558371939244095,10.0
1556558371944246011,10.0
1556558371947118235,10.0
1556558371951954254,10.0
1556558371954951223,10.0
1556558371960146078,10.0
1556558371963119320,10.0
1556558371971024101,10.0
1556558372106116054,2.0
1556558378667905169,0.0
1556558379007177545,1.0
1556558379667856503,0.0
1556558379719541524,17.0
1556558379719636485,-999.0
