rosbagTimestamp,data
1555968741446316230,11.0
1555968749764974146,0.0
1555968750442380629,1.0
1555968754764785560,0.0
1555968755138526336,1.0
1555968758221392825,10.0
1555968758222507330,10.0
1555968758230366796,10.0
1555968758246328001,10.0
1555968758254546174,10.0
1555968758278444959,10.0
1555968758283403887,10.0
1555968758334496231,10.0
1555968758350378309,10.0
1555968758358444802,10.0
1555968768764211571,0.0
1555968769101318913,1.0
1555968772765011160,0.0
1555968773226340849,1.0
1555968775070539585,11.0
1555968775086457123,11.0
1555968777764921863,0.0
1555968778173319433,1.0
1555968781764684566,0.0
1555968782170443043,1.0
1555968786764814779,0.0
1555968787213644262,1.0
1555968788764941535,0.0
1555968789138499121,1.0
1555968789764910440,0.0
1555968790133570156,1.0
1555968795764971571,0.0
1555968796413409748,1.0
1555968796605420868,10.0
1555968796622572856,10.0
1555968796630555204,10.0
1555968796683474796,10.0
1555968796726466850,10.0
1555968796764929585,0.0
1555968797357601788,1.0
1555968797764674921,0.0
1555968798522698732,1.0
1555968798764870972,0.0
1555968799261555343,1.0
1555968799764740613,0.0
1555968800173510012,1.0
1555968805764923778,0.0
1555968806173652366,1.0
1555968807764050806,0.0
1555968808133532204,1.0
1555968808815104432,16.0
1555968808815109369,-999.0
