rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1553642257039141217,,18313,,1553642257,39054208,'',"[-0.00898368563503027, -0.0, 0.02857978083193302, -0.040273189544677734, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553642257044074551,,18314,,1553642257,43972892,'',"[-0.0, -0.0, 0.02857978083193302, -0.040273189544677734, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553642257063077892,,18315,,1553642257,62993745,'',"[-0.0, -0.0, 0.02857978083193302, -0.040273189544677734, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553642257071085666,,18316,,1553642257,71003626,'',"[-0.0, -0.0, 0.02857978083193302, -0.040273189544677734, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553642257076005765,,18317,,1553642257,75926317,'',"[-0.0, -0.0, 0.02857978083193302, -0.040273189544677734, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553642257078971069,,18318,,1553642257,78916807,'',"[-0.0, 0.005353589076548815, 0.02857978083193302, -0.040273189544677734, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553642257087057601,,18319,,1553642257,86949195,'',"[0.024050191044807434, 0.03850632905960083, 0.02857978083193302, -0.040273189544677734, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553642257095233425,,18320,,1553642257,95051690,'',"[0.04380691051483154, 0.06751497089862823, 0.02857978083193302, -0.040273189544677734, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553642257103194951,,18321,,1553642257,103019656,'',"[0.06356362998485565, 0.13382044434547424, 0.02857978083193302, -0.040273189544677734, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553642257111071796,,18322,,1553642257,110932626,'',"[0.06356362998485565, 0.15039682388305664, 0.02857978083193302, -0.040273189544677734, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553642257124064791,,18323,,1553642257,123986859,'',"[0.06356362998485565, 0.16282910108566284, 0.02857978083193302, -0.040273189544677734, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553642257172054054,,18324,,1553642257,171968244,'',"[0.06356362998485565, 0.17940546572208405, 0.02857978083193302, -0.040273189544677734, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553642257175027626,,18325,,1553642257,174925926,'',"[0.06356362998485565, 0.20841410756111145, 0.02857978083193302, -0.040273189544677734, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553642257183116972,,18326,,1553642257,182977963,'',"[0.06356362998485565, 0.30372822284698486, 0.02857978083193302, -0.040273189544677734, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553642257191066754,,18327,,1553642257,190982657,'',"[0.06356362998485565, 0.37417781352996826, 0.02857978083193302, -0.040273189544677734, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553642257204177123,,18328,,1553642257,204039267,'',"[0.06356362998485565, 0.39075416326522827, 0.02857978083193302, -0.040273189544677734, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553642257207153184,,18329,,1553642257,206984922,'',"[0.06356362998485565, 0.4653478264808655, 0.02857978083193302, -0.040273189544677734, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553642257220079599,,18330,,1553642257,219956447,'',"[0.06356362998485565, 0.4860683083534241, 0.02857978083193302, -0.040273189544677734, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553642257223049062,,18331,,1553642257,222958399,'',"[0.06356362998485565, 0.5150769352912903, 0.02857978083193302, -0.040273189544677734, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553642257231236759,,18332,,1553642257,231047563,'',"[0.06356362998485565, 0.5399414896965027, 0.02857978083193302, -0.040273189544677734, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
