rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,-,level,name,message,hardware_id,values,-,key,value,-,key,value,-,key,value,-,key,value,-,key,value,-,key,value,-,key,value,-,key,value,-,key,value,-,key,value,-,key,value
1556557275375269924,,1207,,1556557275,375166694,'',,0,"""joy_node","""OK""","""none""",,"""topic""","""/joy""","""device""","""/dev/input/js0""","""device name""",'',"""dead zone""","""0.05""","""autorepeat rate (Hz)""","""0""","""coalesce interval (s)""","""0.001""","""recent joystick event rate (Hz)""","""0""","""recent publication rate (Hz)""","""0""","""subscribers""","""4""","""default trig val""","""False""","""sticky buttons""","""False"""
1556557276560874711,,1208,,1556557276,560809730,'',,0,"""joy_node","""OK""","""none""",,"""topic""","""/joy""","""device""","""/dev/input/js0""","""device name""",'',"""dead zone""","""0.05""","""autorepeat rate (Hz)""","""0""","""coalesce interval (s)""","""0.001""","""recent joystick event rate (Hz)""","""2.53027""","""recent publication rate (Hz)""","""1.68684""","""subscribers""","""2""","""default trig val""","""False""","""sticky buttons""","""False"""
1556557277632942528,,1209,,1556557277,632780124,'',,0,"""joy_node","""OK""","""none""",,"""topic""","""/joy""","""device""","""/dev/input/js0""","""device name""",'',"""dead zone""","""0.05""","""autorepeat rate (Hz)""","""0""","""coalesce interval (s)""","""0.001""","""recent joystick event rate (Hz)""","""38.2472""","""recent publication rate (Hz)""","""37.3144""","""subscribers""","""2""","""default trig val""","""False""","""sticky buttons""","""False"""
1556557278808905374,,1210,,1556557278,808816436,'',,0,"""joy_node","""OK""","""none""",,"""topic""","""/joy""","""device""","""/dev/input/js0""","""device name""",'',"""dead zone""","""0.05""","""autorepeat rate (Hz)""","""0""","""coalesce interval (s)""","""0.001""","""recent joystick event rate (Hz)""","""34.863""","""recent publication rate (Hz)""","""31.4618""","""subscribers""","""2""","""default trig val""","""False""","""sticky buttons""","""False"""
1556557280088944385,,1211,,1556557280,88878960,'',,0,"""joy_node","""OK""","""none""",,"""topic""","""/joy""","""device""","""/dev/input/js0""","""device name""",'',"""dead zone""","""0.05""","""autorepeat rate (Hz)""","""0""","""coalesce interval (s)""","""0.001""","""recent joystick event rate (Hz)""","""26.5611""","""recent publication rate (Hz)""","""26.5611""","""subscribers""","""2""","""default trig val""","""False""","""sticky buttons""","""False"""
1556557281224947325,,1212,,1556557281,224800546,'',,0,"""joy_node","""OK""","""none""",,"""topic""","""/joy""","""device""","""/dev/input/js0""","""device name""",'',"""dead zone""","""0.05""","""autorepeat rate (Hz)""","""0""","""coalesce interval (s)""","""0.001""","""recent joystick event rate (Hz)""","""24.6496""","""recent publication rate (Hz)""","""24.6496""","""subscribers""","""2""","""default trig val""","""False""","""sticky buttons""","""False"""
1556557282567237571,,1213,,1556557282,567150955,'',,0,"""joy_node","""OK""","""none""",,"""topic""","""/joy""","""device""","""/dev/input/js0""","""device name""",'',"""dead zone""","""0.05""","""autorepeat rate (Hz)""","""0""","""coalesce interval (s)""","""0.001""","""recent joystick event rate (Hz)""","""14.8993""","""recent publication rate (Hz)""","""15.6442""","""subscribers""","""2""","""default trig val""","""False""","""sticky buttons""","""False"""
1556557283567899553,,1214,,1556557283,567760102,'',,0,"""joy_node","""OK""","""none""",,"""topic""","""/joy""","""device""","""/dev/input/js0""","""device name""",'',"""dead zone""","""0.05""","""autorepeat rate (Hz)""","""0""","""coalesce interval (s)""","""0.001""","""recent joystick event rate (Hz)""","""0""","""recent publication rate (Hz)""","""0""","""subscribers""","""2""","""default trig val""","""False""","""sticky buttons""","""False"""
1556557284589871692,,1215,,1556557284,589793187,'',,0,"""joy_node","""OK""","""none""",,"""topic""","""/joy""","""device""","""/dev/input/js0""","""device name""",'',"""dead zone""","""0.05""","""autorepeat rate (Hz)""","""0""","""coalesce interval (s)""","""0.001""","""recent joystick event rate (Hz)""","""42.073""","""recent publication rate (Hz)""","""39.1377""","""subscribers""","""2""","""default trig val""","""False""","""sticky buttons""","""False"""
1556557286127376820,,1216,,1556557286,127277783,'',,0,"""joy_node","""OK""","""none""",,"""topic""","""/joy""","""device""","""/dev/input/js0""","""device name""",'',"""dead zone""","""0.05""","""autorepeat rate (Hz)""","""0""","""coalesce interval (s)""","""0.001""","""recent joystick event rate (Hz)""","""25.3661""","""recent publication rate (Hz)""","""26.0165""","""subscribers""","""2""","""default trig val""","""False""","""sticky buttons""","""False"""
1556557287456949494,,1217,,1556557287,456822107,'',,0,"""joy_node","""OK""","""none""",,"""topic""","""/joy""","""device""","""/dev/input/js0""","""device name""",'',"""dead zone""","""0.05""","""autorepeat rate (Hz)""","""0""","""coalesce interval (s)""","""0.001""","""recent joystick event rate (Hz)""","""10.5299""","""recent publication rate (Hz)""","""9.77778""","""subscribers""","""2""","""default trig val""","""False""","""sticky buttons""","""False"""
1556557288605862069,,1218,,1556557288,605784731,'',,0,"""joy_node","""OK""","""none""",,"""topic""","""/joy""","""device""","""/dev/input/js0""","""device name""",'',"""dead zone""","""0.05""","""autorepeat rate (Hz)""","""0""","""coalesce interval (s)""","""0.001""","""recent joystick event rate (Hz)""","""26.1105""","""recent publication rate (Hz)""","""26.1105""","""subscribers""","""2""","""default trig val""","""False""","""sticky buttons""","""False"""
